shot_angle,shot_distance,keeper_angle,keeper_scope,keeper_scope_angle,keeper_distance,is_penalty,is_freekick,is_openplay,nearest_player_distance,blocking_players_count,blocking_player_mean_distance,teammates_count,keep_angle_by_shot_angle,scope_angle_by_shot_angle,body_part,season,is_goal
13.09,27.8,12.95,4.1385,12.55,27.59,False,True,False,9.43,4,10.342500000000001,0,0.9893048128342246,0.9587471352177235,Left Foot,2011/2012,False
11.89,24.21,1.88,3.6614999999999998,9.98,24.41,False,False,True,9.43,1,9.43,0,0.15811606391925986,0.8393608074011775,Right Foot,2011/2012,False
36.87,12.0,18.43,1.65,17.06,11.0,False,False,True,5.1,1,5.1,0,0.4998643883916464,0.46270680770273936,Left Foot,2011/2012,False
11.31,25.61,7.13,3.42,10.67,22.8,False,False,True,-1,0,-1,0,0.6304155614500442,0.9434129089301503,Right Foot,2011/2012,False
23.23,16.64,3.54,2.2845,15.75,15.23,False,False,True,3.16,1,3.16,0,0.15238915195867414,0.6780025828669823,Left Foot,2011/2012,False
13.24,21.4,6.9,2.8815,10.85,19.21,False,False,True,-1,0,-1,0,0.5211480362537765,0.8194864048338368,Right Foot,2011/2012,False
12.07,36.4,5.1,5.2755,16.52,35.17,False,False,True,5.1,2,11.77,1,0.42253521126760557,1.368682684341342,Right Foot,2011/2012,False
24.99,18.03,9.46,2.6999999999999997,17.06,18.0,False,False,True,-1,0,-1,0,0.3785514205682273,0.6826730692276911,Left Foot,2011/2012,False
31.33,14.14,8.13,1.65,17.06,11.0,False,False,True,2.24,1,2.24,0,0.25949569103096076,0.5445260134056814,Left Foot,2011/2012,False
12.17,31.91,7.47,4.659,14.4,31.06,False,False,True,7.62,3,17.103333333333335,0,0.6138044371405095,1.1832374691865242,Right Foot,2011/2012,False
11.03,37.58,7.99,4.707,15.83,31.38,False,False,True,-1,0,-1,0,0.7243880326382593,1.4351767905711696,Right Foot,2011/2012,False
9.93,24.7,5.98,3.165,9.09,21.1,False,False,True,5.83,1,5.83,0,0.6022155085599195,0.9154078549848943,Right Foot,2011/2012,False
26.48,17.0,17.05,2.2544999999999997,17.02,15.03,False,False,True,3.16,2,6.58,1,0.6438821752265861,0.6427492447129909,Left Foot,2011/2012,False
10.78,32.65,3.81,4.7835,13.01,31.89,False,False,True,-1,0,-1,0,0.3534322820037106,1.2068645640074211,Left Foot,2011/2012,False
